Country name,ICB,ISO 3166-1 
Afghanistan,AFG,AFG
Albania,ALB,ALB
Algeria,ALG,DZA
American Samoa,,ASM
Andorra,AND,AND
Angola,ANG,AGO
Anguilla,,AIA
Antarctica,,ATA
Antigua and Barbuda,AAB,ATG
Argentina,ARG,ARG
Armenia,ARM,ARM
Aruba,,ABW
Australia,AUL,AUS
Austria,AUS,AUT
Azerbaijan,AZE,AZE
Bahamas,BHM,BHS
Bahrain,BAH,BHR
Bangladesh,BNG,BGD
Barbados,BAR,BRB
Belarus,BLR,BLR
Belgium,BEL,BEL
Belize,BLZ,BLZ
Benin,BEN,BEN
Bermuda,,BMU
Bhutan,BHU,BTN
Bolivia ,BOL,BOL
Bosnia and Herzegovina,BOS,BIH
Botswana,BOT,BWA
Brazil,BRA,BRA
Brunei Darussalam,BRU,BRN
Bulgaria,BUL,BGR
Burkina Faso,BFO,BFA
Burundi,BUI,BDI
Cambodia,CAM,KHM
Cameroon,CAO,CMR
Canada,CAN,CAN
Cabo Verde,CAP,CPV
Central African Republic,CEN,CAF
Chad,CHA,TCD
Chile,CHL,CHL
China,CHN,CHN
Colombia,COL,COL
Comoros,COM,COM
"Congo, Democratic Republic",CON,COD
Republic of Congo,DRC,COG
Costa Rica,COS,CRI
Côte d'Ivoire,CDI,CIV
Croatia,CRO,HRV
Cuba,CUB,CUB
Curaçao,CUW,CUW
Cyprus,CYP,CYP
Czech republic,CZR,CZE
Czechoslovakia,CZE,
Denmark,DEN,DNK
Djibouti,DJI,DJI
Dominica,DMA,DMA
Dominican Republic,DOM,DOM
Ecuador,ECU,ECU
Egypt,EGY,EGY
El Salvador,SAL,SLV
Equatorial Guinea,EQG,GNQ
Eritrea,ERI,ERI
Estonia,EST,EST
Ethiopia,ETH,ETH
Micronesia,FSM,
Fiji,FIJ,FJI
Finland,FIN,FIN
France,FRN,FRA
Vichy France,VFR,
French West Africa,FWA,
Gabon,GAB,GAB
Gambia,GAM,GMB
Georgia,GRG,GEO
Germany (Prussia),GMY,
Germany (East Germany),GDR,
Germany (West Germany),GFR,DEU
Ghana,GHA,GHA
Great Britain,UK,
Greece,GRC,GRC
Greenland,GRL,GRL
